Zeit	Kanal A
(s)	(mV)

0.05790000	-3.36491100
0.05800000	-4.48449800
0.05810000	-3.36491100
0.05820000	-4.48449800
0.05830000	-4.48449800
0.05840000	-4.48449800
0.05850000	-4.48449800
0.05860000	-3.36491100
0.05870000	-4.48449800
0.05880000	-3.36491100
0.05890000	-3.36491100
0.05900000	-3.36491100
0.05910000	-3.36491100
0.05920000	-4.48449800
0.05930000	-3.36491100
0.05940000	-3.36491100
0.05950000	-4.48449800
0.05960000	-4.48449800
0.05970000	-4.48449800
0.05980000	-4.48449800
0.05990000	-4.48449800
0.06000000	-4.48449800
0.06010000	-4.48449800
0.06020000	-3.36491100
0.06030000	-4.48449800
0.06040000	-3.36491100
0.06050000	-4.48449800
0.06060000	-3.36491100
0.06070000	-4.48449800
0.06080000	-4.48449800
0.06090000	-3.36491100
0.06100000	-4.48449800
0.06110000	-3.36491100
0.06120000	-4.48449800
0.06130000	-4.48449800
0.06140000	-4.48449800
0.06150000	-4.48449800
0.06160000	-4.48449800
0.06170000	-4.48449800
0.06180000	-3.36491100
0.06190000	-3.36491100
0.06200000	-4.48449800
0.06210000	-3.36491100
0.06220000	-3.36491100
0.06230000	-4.48449800
0.06240000	-3.36491100
0.06250000	-3.36491100
0.06260000	-3.36491100
0.06270000	-6.72982200
0.06280000	-4.48449800
0.06290000	-3.36491100
0.06300000	-5.60716000
0.06310000	-4.48449800
0.06320000	-3.36491100
0.06330000	-4.48449800
0.06340000	-3.36491100
0.06350000	-4.48449800
0.06360000	-4.48449800
0.06370000	-7.84940900
0.06380000	-4.48449800
0.06390000	-3.36491100
0.06400000	-3.36491100
0.06410000	-3.36491100
0.06420000	-5.60716000
0.06430000	-4.48449800
0.06440000	-4.48449800
0.06450000	-3.36491100
0.06460000	-4.48449800
0.06470000	-4.48449800
0.06480000	-5.60716000
0.06490000	-3.36491100
0.06500000	-4.48449800
0.06510000	-3.36491100
0.06520000	-4.48449800
0.06530000	-3.36491100
0.06540000	-4.48449800
0.06550000	-4.48449800
0.06560000	-3.36491100
0.06570000	-3.36491100
0.06580000	-4.48449800
0.06590000	-4.48449800
0.06600000	-3.36491100
0.06610000	-3.36491100
0.06620000	-3.36491100
0.06630000	-3.36491100
0.06640000	-5.60716000
0.06650000	-4.48449800
0.06660000	-3.36491100
0.06670000	-3.36491100
0.06680000	-3.36491100
0.06690000	-4.48449800
0.06700000	-4.48449800
0.06710000	-4.48449800
0.06720000	-4.48449800
0.06730000	-4.48449800
0.06740000	-4.48449800
0.06750000	-4.48449800
0.06760000	-3.36491100
0.06770000	-4.48449800
0.06780000	-4.48449800
0.06790000	-4.48449800
0.06800000	-4.48449800
0.06810000	-4.48449800
0.06820000	-4.48449800
0.06830000	-5.60716000
0.06840000	-4.48449800
0.06850000	-5.60716000
0.06860000	-4.48449800
0.06870000	-4.48449800
0.06880000	-4.48449800
0.06890000	-4.48449800
0.06900000	-5.60716000
0.06910000	-4.48449800
0.06920000	-5.60716000
0.06930000	-4.48449800
0.06940000	-6.72982200
0.06950000	-4.48449800
0.06960000	-4.48449800
0.06970000	-3.36491100
0.06980000	-4.48449800
0.06990000	-4.48449800
0.07000000	-4.48449800
0.07010000	-4.48449800
0.07020000	-4.48449800
0.07030000	-3.36491100
0.07040000	-4.48449800
0.07050000	-4.48449800
0.07060000	-3.36491100
0.07070000	-4.48449800
0.07080000	-4.48449800
0.07090000	-4.48449800
0.07100000	-4.48449800
0.07110000	-4.48449800
0.07120000	-5.60716000
0.07130000	-5.60716000
0.07140000	-4.48449800
0.07150000	-4.48449800
0.07160000	-4.48449800
0.07170000	-3.36491100
0.07180000	-4.48449800
0.07190000	-12.33698000
0.07200000	-4.48449800
0.07210000	-4.48449800
0.07220000	-4.48449800
0.07230000	-10.09473000
0.07240000	-4.48449800
0.07250000	-4.48449800
0.07260000	-4.48449800
0.07270000	-4.48449800
0.07280000	-6.72982200
0.07290000	-5.60716000
0.07300000	-5.60716000
0.07310000	-4.48449800
0.07320000	-4.48449800
0.07330000	-4.48449800
0.07340000	-4.48449800
0.07350000	-5.60716000
0.07360000	-4.48449800
0.07370000	-5.60716000
0.07380000	-4.48449800
0.07390000	-4.48449800
0.07400000	-4.48449800
0.07410000	-4.48449800
0.07420000	-4.48449800
0.07430000	-4.48449800
0.07440000	-6.72982200
0.07450000	-4.48449800
0.07460000	-4.48449800
0.07470000	-3.36491100
0.07480000	-4.48449800
0.07490000	-4.48449800
0.07500000	-4.48449800
0.07510000	-4.48449800
0.07520000	-4.48449800
0.07530000	-4.48449800
0.07540000	-4.48449800
0.07550000	-4.48449800
0.07560000	-5.60716000
0.07570000	-4.48449800
0.07580000	-4.48449800
0.07590000	-4.48449800
0.07600000	-4.48449800
0.07610000	-4.48449800
0.07620000	-5.60716000
0.07630000	-4.48449800
0.07640000	-3.36491100
0.07650000	-4.48449800
0.07660000	-8.97207200
0.07670000	-4.48449800
0.07680000	-4.48449800
0.07690000	-5.60716000
0.07700000	-4.48449800
0.07710000	-5.60716000
0.07720000	-5.60716000
0.07730000	-5.60716000
0.07740000	-3.36491100
0.07750000	-4.48449800
0.07760000	-3.36491100
0.07770000	-4.48449800
0.07780000	-4.48449800
0.07790000	-4.48449800
0.07800000	-3.36491100
0.07810000	-4.48449800
0.07820000	-6.72982200
0.07830000	-4.48449800
0.07840000	-4.48449800
0.07850000	-4.48449800
0.07860000	-7.84940900
0.07870000	-5.60716000
0.07880000	-4.48449800
0.07890000	-4.48449800
0.07900000	-4.48449800
0.07910000	-3.36491100
0.07920000	-4.48449800
0.07930000	-3.36491100
0.07940000	-3.36491100
0.07950000	-4.48449800
0.07960000	-5.60716000
0.07970000	-3.36491100
0.07980000	-4.48449800
0.07990000	-4.48449800
0.08000000	-5.60716000
0.08010000	-5.60716000
0.08020000	-4.48449800
0.08030000	-4.48449800
0.08040000	-3.36491100
0.08050000	-4.48449800
0.08060000	-4.48449800
0.08070000	-3.36491100
0.08080000	-4.48449800
0.08090000	-10.09473000
0.08100000	-4.48449800
0.08110000	-3.36491100
0.08120000	-3.36491100
0.08130000	-4.48449800
0.08140000	-5.60716000
0.08150000	-4.48449800
0.08160000	-3.36491100
0.08170000	-4.48449800
0.08180000	-3.36491100
0.08190000	-4.48449800
0.08200000	-3.36491100
0.08210000	-3.36491100
0.08220000	-4.48449800
0.08230000	-4.48449800
0.08240000	-4.48449800
0.08250000	-3.36491100
0.08260000	-4.48449800
0.08270000	-4.48449800
0.08280000	-3.36491100
0.08290000	-3.36491100
0.08300000	-4.48449800
0.08310000	-3.36491100
0.08320000	-3.36491100
0.08330000	-4.48449800
0.08340000	-4.48449800
0.08350000	-4.48449800
0.08360000	-4.48449800
0.08370000	-3.36491100
0.08380000	-3.36491100
0.08390000	-3.36491100
0.08400000	-6.72982200
0.08410000	-4.48449800
0.08420000	-3.36491100
0.08430000	-3.36491100
0.08440000	-3.36491100
0.08450000	-4.48449800
0.08460000	-5.60716000
0.08470000	-3.36491100
0.08480000	-4.48449800
0.08490000	-4.48449800
0.08500000	-4.48449800
0.08510000	-3.36491100
0.08520000	-4.48449800
0.08530000	-5.60716000
0.08540000	-4.48449800
0.08550000	-3.36491100
0.08560000	-4.48449800
0.08570000	-4.48449800
0.08580000	-4.48449800
0.08590000	-3.36491100
0.08600000	-4.48449800
0.08610000	-4.48449800
0.08620000	-5.60716000
0.08630000	-3.36491100
0.08640000	-7.84940900
0.08650000	-3.36491100
0.08660000	-4.48449800
0.08670000	-7.84940900
0.08680000	-4.48449800
0.08690000	-4.48449800
0.08700000	-4.48449800
0.08710000	-4.48449800
0.08720000	-4.48449800
0.08730000	-6.72982200
0.08740000	-4.48449800
0.08750000	-4.48449800
0.08760000	-4.48449800
0.08770000	-5.60716000
0.08780000	-5.60716000
0.08790000	-4.48449800
0.08800000	-10.09473000
0.08810000	-3.36491100
0.08820000	-5.60716000
0.08830000	-4.48449800
0.08840000	-5.60716000
0.08850000	-4.48449800
0.08860000	-4.48449800
0.08870000	-4.48449800
0.08880000	-4.48449800
0.08890000	-4.48449800
0.08900000	-4.48449800
0.08910000	-4.48449800
0.08920000	-4.48449800
0.08930000	-4.48449800
0.08940000	-4.48449800
0.08950000	-4.48449800
0.08960000	-8.97207200
0.08970000	-4.48449800
0.08980000	-4.48449800
0.08990000	-10.09473000
0.09000000	-4.48449800
0.09010000	-4.48449800
0.09020000	-4.48449800
0.09030000	-4.48449800
0.09040000	-6.72982200
0.09050000	-4.48449800
0.09060000	-4.48449800
0.09070000	-7.84940900
0.09080000	-4.48449800
0.09090000	-3.36491100
0.09100000	-4.48449800
0.09110000	-4.48449800
0.09120000	-4.48449800
0.09130000	-4.48449800
0.09140000	-5.60716000
0.09150000	-4.48449800
0.09160000	-4.48449800
0.09170000	-3.36491100
0.09180000	-4.48449800
0.09190000	-8.97207200
0.09200000	-5.60716000
0.09210000	-4.48449800
0.09220000	-4.48449800
0.09230000	-4.48449800
0.09240000	-5.60716000
0.09250000	-4.48449800
0.09260000	-4.48449800
0.09270000	-4.48449800
0.09280000	-4.48449800
0.09290000	-4.48449800
0.09300000	-5.60716000
0.09310000	-4.48449800
0.09320000	-4.48449800
0.09330000	-4.48449800
0.09340000	-4.48449800
0.09350000	-5.60716000
0.09360000	-4.48449800
0.09370000	-4.48449800
0.09380000	-4.48449800
0.09390000	-4.48449800
0.09400000	-4.48449800
0.09410000	-4.48449800
0.09420000	-4.48449800
0.09430000	-4.48449800
0.09440000	-4.48449800
0.09450000	-4.48449800
0.09460000	-4.48449800
0.09470000	-5.60716000
0.09480000	-3.36491100
0.09490000	-3.36491100
0.09500000	-3.36491100
0.09510000	-7.84940900
0.09520000	-4.48449800
0.09530000	-6.72982200
0.09540000	-3.36491100
0.09550000	-4.48449800
0.09560000	-4.48449800
0.09570000	-5.60716000
0.09580000	-4.48449800
0.09590000	-4.48449800
0.09600000	-6.72982200
0.09610000	-6.72982200
0.09620000	-4.48449800
0.09630000	-4.48449800
0.09640000	-4.48449800
0.09650000	-4.48449800
0.09660000	-5.60716000
0.09670000	-5.60716000
0.09680000	-4.48449800
0.09690000	-4.48449800
0.09700000	-5.60716000
0.09710000	-4.48449800
0.09720000	-4.48449800
0.09730000	-4.48449800
0.09740000	-3.36491100
0.09750000	-4.48449800
0.09760000	-3.36491100
0.09770000	-3.36491100
0.09780000	-4.48449800
0.09790000	-4.48449800
0.09800000	-4.48449800
0.09810000	-4.48449800
0.09820000	-4.48449800
0.09830000	-4.48449800
0.09840000	-6.72982200
0.09850000	-4.48449800
0.09860000	-4.48449800
0.09870000	-4.48449800
0.09880000	-4.48449800
0.09890000	-4.48449800
0.09900000	-4.48449800
0.09910000	-4.48449800
0.09920000	-4.48449800
0.09930000	-4.48449800
0.09940000	-4.48449800
0.09950000	-4.48449800
